,Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp,Charge,Total Charge,Charge Density,Charge Integral,Anodal Charge Integral,Cathodal Charge Integral,Anodal Charge Storage Capacity,Cathodal Charge Storage Capacity,Date,Time,Site
1580,420,84.2,-1.90083E-001,1.4847e-10,0.00000E+000,-1.90000E-001,9.99122E-004,4,..........a,-327.66,2.9142258284516574e-08,-9.502568133136266e-06,-0.4751284066568133,0.0014571129142258285,0.0014571129142258285,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1581,421,84.4,-1.79954E-001,1.53104e-10,0.00000E+000,-1.80000E-001,1.00532E-003,4,..........a,-327.66,3.0157460314920634e-08,-9.472410672821345e-06,-0.4736205336410672,0.0015078730157460315,0.0015078730157460315,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1582,422,84.6,-1.69975E-001,1.5751e-10,0.00000E+000,-1.70000E-001,1.00232E-003,4,..........a,-327.66,3.106146212292425e-08,-9.44134921069842e-06,-0.472067460534921,0.0015530731061462123,0.0015530731061462123,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1583,423,84.8,-1.59961E-001,1.54091e-10,0.00000E+000,-1.60000E-001,1.01772E-003,4,..........a,-327.66,3.116016232032464e-08,-9.410189048378095e-06,-0.47050945241890474,0.0015580081160162318,0.0015580081160162318,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1584,424,85,-1.49936E-001,1.54375e-10,0.00000E+000,-1.50000E-001,1.01772E-003,4,..........a,-327.66,3.084666169332339e-08,-9.379342386684772e-06,-0.46896711933423857,0.0015423330846661696,0.0015423330846661696,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1585,425,85.2,-1.39848E-001,1.60266e-10,0.00000E+000,-1.40000E-001,1.00322E-003,4,..........a,-327.66,3.146416292832586e-08,-9.347878223756447e-06,-0.4673939111878223,0.0015732081464162927,0.0015732081464162927,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1586,426,85.4,-1.30083E-001,1.60039e-10,0.00000E+000,-1.30000E-001,9.85922E-004,4,..........a,-327.66,3.203056406112812e-08,-9.31584765969532e-06,-0.46579238298476594,0.001601528203056406,0.001601528203056406,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1587,427,85.6,-1.19919E-001,1.60306e-10,0.00000E+000,-1.20000E-001,9.92622E-004,4,..........a,-327.66,3.203456406912814e-08,-9.28381309562619e-06,-0.4641906547813095,0.0016017282034564068,0.0016017282034564068,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1588,428,85.8,-1.09952E-001,1.5605e-10,0.00000E+000,-1.10000E-001,1.00842E-003,4,..........a,-327.66,3.1635663271326545e-08,-9.252177432354864e-06,-0.46260887161774317,0.0015817831635663272,0.0015817831635663272,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1589,429,86,-9.99341E-002,1.55161e-10,0.00000E+000,-1.00000E-001,1.02682E-003,4,..........a,-327.66,3.112116224232449e-08,-9.221056270112539e-06,-0.46105281350562693,0.0015560581121162244,0.0015560581121162244,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1590,430,86.2,-8.99639E-002,1.60054e-10,0.00000E+000,-9.00000E-002,1.00892E-003,4,..........a,-327.66,3.1521563043126086e-08,-9.189534707069413e-06,-0.4594767353534706,0.0015760781521563041,0.0015760781521563041,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1591,431,86.4,-7.99070E-002,1.59575e-10,0.00000E+000,-8.00000E-002,1.02082E-003,4,..........a,-327.66,3.196296392592785e-08,-9.157571743143485e-06,-0.4578785871571742,0.0015981481962963923,0.0015981481962963923,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1592,432,86.6,-6.99289E-002,1.55043e-10,0.00000E+000,-7.00000E-002,1.00012E-003,4,..........a,-327.66,3.146186292372585e-08,-9.12610988021976e-06,-0.4563054940109879,0.0015730931461862923,0.0015730931461862923,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1593,433,86.8,-5.99246E-002,1.53999e-10,0.00000E+000,-6.00000E-002,9.97322E-004,4,..........a,-327.66,3.090426180852362e-08,-9.095205618411236e-06,-0.45476028092056175,0.0015452130904261808,0.0015452130904261808,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1594,434,87,-4.99530E-002,1.53904e-10,0.00000E+000,-5.00000E-002,1.00352E-003,4,..........a,-327.66,3.079036158072316e-08,-9.064415256830512e-06,-0.45322076284152557,0.001539518079036158,0.001539518079036158,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1595,435,87.2,-3.99301E-002,1.58829e-10,0.00000E+000,-4.00000E-002,9.95722E-004,4,..........a,-327.66,3.12733625467251e-08,-9.033141894283786e-06,-0.4516570947141893,0.0015636681273362549,0.0015636681273362549,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1596,436,87.4,-3.00073E-002,1.57891e-10,0.00000E+000,-3.00000E-002,9.89922E-004,4,..........a,-327.66,3.1672063344126694e-08,-9.001469830939659e-06,-0.4500734915469829,0.0015836031672063345,0.0015836031672063345,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1597,437,87.6,-1.99060E-002,1.52381e-10,0.00000E+000,-2.00000E-002,9.97922E-004,4,..........a,-327.66,3.1027262054524114e-08,-8.970442568885135e-06,-0.4485221284442567,0.0015513631027262056,0.0015513631027262056,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1598,438,87.8,-9.93391E-003,1.51587e-10,0.00000E+000,-1.00000E-002,9.93222E-004,4,..........a,-327.66,3.039686079372159e-08,-8.940045708091413e-06,-0.4470022854045706,0.0015198430396860796,0.0015198430396860796,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1599,439,88,5.79408E-005,1.56227e-10,0.00000E+000,7.45058E-009,1.01232E-003,4,..........a,-327.66,3.0781461562923136e-08,-8.90926424652849e-06,-0.44546321232642444,0.0015390730781461566,0.0015390730781461566,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1600,440,88.2,1.00787E-002,1.55886e-10,0.00000E+000,1.00000E-002,9.93322E-004,4,..........a,-327.66,3.1211362422724846e-08,-8.878052884105764e-06,-0.4439026442052882,0.0015605681211362421,0.0015605681211362421,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1601,441,88.4,2.00614E-002,1.52698e-10,0.00000E+000,2.00000E-002,1.00852E-003,4,..........a,-327.66,3.085846171692344e-08,-8.847194422388842e-06,-0.44235972111944205,0.0015429230858461718,0.0015429230858461718,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1602,442,88.6,3.00384E-002,1.49005e-10,0.00000E+000,3.00000E-002,1.00792E-003,4,..........a,-327.66,3.017036034072069e-08,-8.81702406204812e-06,-0.440851203102406,0.0015085180170360344,0.0015085180170360344,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1603,443,88.8,3.97812E-002,1.54756e-10,0.00000E+000,4.00000E-002,1.00382E-003,4,..........a,-327.66,3.0376160752321506e-08,-8.786647901295799e-06,-0.43933239506478994,0.0015188080376160751,0.0015188080376160751,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1604,444,89,5.00343E-002,1.48322e-10,0.00000E+000,5.00000E-002,1.00002E-003,4,..........a,-327.66,3.030786061572124e-08,-8.756340040680078e-06,-0.43781700203400387,0.0015153930307860617,0.0015153930307860617,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
1605,445,89.2,6.00752E-002,1.49049e-10,0.00000E+000,6.00000E-002,1.00772E-003,4,..........a,-327.66,2.9737159474318947e-08,-8.726602881205759e-06,-0.4363301440602879,0.0014868579737159471,0.0014868579737159471,0.0,0.23798079906159814,0.5009294113588227,2024-03-21,17:45:33,E06
