,Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,Date,Site
1401,59,18:24:03,0.1260081,1757195,-3478037,1,3896726,-63.1959,5.947889E-009,2.657196E-005,4,2024-04-24,E08
1402,60,18:24:03,0.1001603,2287281,-3969805,1,4581595,-60.05077,5.938711E-009,2.405795E-005,4,2024-04-24,E08
1403,0,18:36:28,100078.1,1249.983,-668.9864,1,1417.745,-28.15553,2.20235E-008,-8.048464E-006,7,2024-04-24,E09
1404,1,18:36:28,79453.13,1327.576,-766.9531,1,1533.191,-30.01542,1.808701E-008,-1.409848E-005,7,2024-04-24,E09
1405,2,18:36:28,63140.62,1421.661,-877.4683,1,1670.65,-31.68344,1.800735E-008,-1.384613E-005,7,2024-04-24,E09
1406,3,18:36:28,50203.12,1534.781,-999.506,1,1831.547,-33.07367,1.782301E-008,-9.804695E-006,7,2024-04-24,E09
1407,4,18:36:28,39890.62,1670.655,-1133.09,1,2018.658,-34.14633,1.644316E-008,-1.91188E-005,7,2024-04-24,E09
1408,5,18:36:28,31640.63,1832.268,-1276.42,1,2233.037,-34.86237,1.662608E-008,-1.722508E-005,7,2024-04-24,E09
1409,6,18:36:28,25171.88,2019.634,-1425.379,1,2471.968,-35.21296,1.661673E-008,-1.128209E-005,7,2024-04-24,E09
1410,7,18:36:28,20015.62,2238.722,-1577.243,1,2738.534,-35.16578,1.659519E-008,-1.150317E-005,7,2024-04-24,E09
1411,8,18:36:28,15890.62,2484.5,-1730.551,1,3027.795,-34.85872,1.674365E-008,-1.128439E-005,7,2024-04-24,E09
1412,9,18:36:28,12609.38,2759.568,-1877.502,1,3337.698,-34.22984,1.474321E-008,-9.739957E-006,7,2024-04-24,E09
1413,10,18:36:28,10078.13,3050.144,-2009.109,1,3652.383,-33.37263,1.523925E-008,-1.46774E-005,7,2024-04-24,E09
1414,11,18:36:28,8015.625,3384.905,-2116.196,1,3991.975,-32.01306,5.81105E-009,-1.424077E-005,6,2024-04-24,E09
1415,12,18:36:28,6328.125,3723.113,-2236.635,1,4343.283,-30.99506,6.478624E-009,-1.012671E-005,6,2024-04-24,E09
1416,13,18:36:28,5015.625,4064.623,-2347.548,1,4693.841,-30.00885,6.261875E-009,-9.889176E-006,6,2024-04-24,E09
1417,14,18:36:28,3984.375,4408.094,-2452.979,1,5044.641,-29.09469,5.650241E-009,-1.475488E-005,6,2024-04-24,E09
1418,15,18:36:28,3170.956,4749.248,-2559.561,1,5395.063,-28.32202,6.560514E-009,-1.719782E-005,6,2024-04-24,E09
